user_id,song_name,rating
user_001,"Kozmic Blues - Live at CNE Stadium, Toronto, Canada - June 1970",4
user_001,A Tu Merced,3
user_001,(Oh) Pretty Woman - 2015 Remaster,3
user_001,Take A Chance,5
user_001,"Ruby, Don't Take Your Love to Town",4
user_001,Ide Anandanu,3
user_001,So This Is Love - previously unreleased alternate take,4
user_001,Penthouse Serenade (When We're Alone) - Remastered,3
user_001,I Don't Want to Talk About It,4
user_001,The Train and the River,5
user_001,I Told You So,4
user_001,"The Rite of Spring: The Adoration of the Earth, Pt. 1: IV. Spring Rounds",5
user_001,Rnw@y (Backyard Bangers Reanimation) [feat. Phoenix Orion],5
user_001,El Diario De Un Borracho,3
user_001,Wasted Rock Ranger,5
user_001,Sisters of Mercy,3
user_001,INTROVERSION 2.0,5
user_001,The Man In The Station,4
user_001,As Pan Na Doun Ta Matia Mou,5
user_001,You've Done Nothing,3
user_001,Stuck Inside A Cloud,3
user_001,Imunização Racional (Que Beleza),4
user_001,Nova Zembla - Armin van Buuren Remix,3
user_001,8 Iz Enuff,5
user_001,Niña De Mi Corazón,4
user_001,Back on My Feet Again - Remastered,4
user_001,Rattled by the Rush,5
user_001,Neo Acid,3
user_001,Make It Stop (September's Children),5
user_001,California Love - Original Version,4
user_001,I Didn't Know What Time It Was,5
user_001,"Moonlight, Darling and You",5
user_001,Driven To Tears,5
user_001,The Flame - Single Edit,4
user_001,Rendezvous,3
user_001,Kiss You All Over,5
user_001,Perfecta - Versión con Julieta Venegas,5
user_001,Assassins,3
user_001,Prisoner (feat. Dua Lipa),3
user_001,Trapeaste conmigo,3
user_001,Aaji Jharo Jharo Mukhar,5
user_001,Chi-Chi - Take 4 / Complete,3
user_001,Yes We Can Can,4
user_001,"Laga Ussetu Madadgar Hai (From ""Ban Phool"")",5
user_001,Down On My Knees/Hang Up My Rock & Roll Shoes,4
user_001,Viejo Pancho - Instrumental (Remasterizado),3
user_001,"Carnival, Op. 92, B. 169: Overture",5
user_001,When It's Cold I'd Like to Die,3
